Player,ast_per_g,blk_per_g,fg2_pct,fg3_pct,height,lb,pts_per_g,stl_per_g,tov_per_g,trb_per_g,years
Rodney Stuckey,4.8,0.3,0.54,0.317,77,205,24.4,2.3,0,4.7,2
Nick Young,1.4,0.3,0.518,0.368,78,200,15.5,0.8,0,5.1,3
Sean Williams,0.6,2.8,0.577,0,82,235,5.5,0.6,0,4.2,3
Javaris Crittenton,5.8,0.1,0.488,0.356,77,200,14.4,2,0,3.7,1
Jason Smith,2,1.7,0.556,0.308,84,240,14.7,0.5,0,7.9,3
Daequan Cook,1,0.3,0.465,0.415,77,205,9.8,0.7,0,4.3,1
Jared Dudley,3,0.3,0.548,0.365,79,225,15.9,1.4,0,7.2,4
Wilson Chandler,1.2,1.5,0.487,0.303,80,220,12.9,0.7,0,7.1,2
Morris Almond,1,0.5,0.514,0.435,78,225,15.1,0.7,0,3.5,4
Aaron Brooks,4.1,0.1,0.479,0.374,72,161,13.1,1.1,0,3.5,4
Arron Afflalo,1.9,0.2,0.539,0.373,77,215,14.8,0.6,0,3.5,3
Alando Tucker,1.6,0.2,0.522,0.307,78,205,16.5,0.8,0,5.7,5
Carl Landry,1.2,0.8,0.628,0.233,81,248,18.4,1,0,7.1,3
Gabe Pruitt,3.5,0.2,0.496,0.393,76,170,13.8,2,0,3.1,3
Marcus Williams,7.3,0.2,0.413,0.375,75,205,9,1,0,3.2,3
Nick Fazekas,1.3,1.5,0.579,0.341,83,235,18.8,0.7,0,9.6,4
Glen Davis,1.5,1.2,0.51,0.31,81,289,16.7,1.1,0,9.6,3
Jermareo Davidson,1,1.8,0.471,0.211,82,230,10.1,0.5,0,7.3,4
Josh McRoberts,2.4,1.9,0.559,0.278,82,240,10.8,1.2,0,6.5,2
Chris Richard,0.3,0.4,0.665,0,81,270,4.9,0.3,0,3.2,4
Derrick Byars,3.3,0.2,0.531,0.4,79,0,14.8,1.2,0,4.3,4
Adam Haluska,2.1,0.2,0.499,0.364,77,0,16.1,1.2,0,4.4,4
Reyshawn Terry,0.9,0.5,0.526,0.419,79,0,7.3,0.6,0,3.5,4
Jared Jordan,6.9,0.1,0.521,0.326,74,0,13.1,1.4,0,4.8,4
Stephane Lasme,0.9,3.4,0.595,0,80,215,8.6,0.7,0,6.4,4
Dominic McGuire,3.3,3.6,0.516,0.299,81,220,13.5,0.9,0,9.8,3
Aaron Gray,1.3,1.2,0.55,0,84,270,9.8,0.4,0,7,4
JamesOn Curry,3.5,0.2,0.464,0.404,75,0,13.5,1,0,2.9,3
Taurean Green,3.6,0.1,0.419,0.389,72,177,10.6,1.1,0,2.2,3
Demetris Nichols,1.1,0.8,0.493,0.358,80,216,10.9,1,0,4.1,4
Herbert Hill,0.9,1.9,0.615,0,82,0,9.7,0.8,0,5.2,4
Ramon Sessions,4.9,0.1,0.43,0.313,75,190,8.8,1.2,0,4.2,3
Sammy Mejia,3.2,0.2,0.51,0.328,78,0,12.1,1,0,4.8,4
D.J. Strawberry,2.9,0.4,0.503,0.33,77,201,10.1,1.8,0,3.3,4
Derrick Rose,4.7,0.4,0.521,0.337,75,190,14.9,1.2,2.7,4.5,1
Michael Beasley,1.2,1.6,0.562,0.379,81,235,26.2,1.3,2.9,12.4,1
O.J. Mayo,3.3,0.4,0.464,0.409,76,210,20.7,1.5,3.5,4.5,1
Russell Westbrook,2.5,0.1,0.491,0.354,75,187,8.3,1,2.5,2.4,2
Kevin Love,1.9,1.4,0.611,0.354,82,260,17.5,0.7,2,10.6,1
Eric Gordon,2.4,0.6,0.525,0.337,75,222,20.9,1.3,3.6,3.3,1
Joe Alexander,2,1.2,0.488,0.295,80,230,12.1,0.6,2.2,4.8,3
D.J. Augustin,6.2,0,0.463,0.402,72,180,16.9,1.4,2.8,2.9,2
Brook Lopez,1.1,1.9,0.491,0.143,84,260,16,0.5,2.1,7.1,2
Jerryd Bayless,4,0.1,0.489,0.407,75,200,19.7,1,3,2.7,1
Jason Thompson,2,1.9,0.544,0.291,83,250,16.7,0.9,2.9,9.6,4
Brandon Rush,2,0.8,0.458,0.435,78,210,13.6,0.7,1.8,5.5,3
Anthony Randolph,1.2,2.3,0.483,0.105,82,205,15.6,1.1,3,8.5,1
Robin Lopez,0.8,2.3,0.511,0.5,84,255,9,0.3,1.8,5.6,2
Marreese Speights,0.5,0.9,0.633,0,82,245,9.5,0.3,1.7,5.4,2
Roy Hibbert,1.3,1.9,0.602,1,86,278,10.9,0.4,1.7,5.9,4
JaVale McGee,0.3,1.8,0.563,0.356,84,237,8.7,0.5,2.4,4.8,2
J.J. Hickson,1,1.5,0.593,0,81,242,14.8,0.7,2.7,8.5,1
Ryan Anderson,1,0.5,0.532,0.396,81,216,18.7,0.5,2.2,9,2
Courtney Lee,2.2,0.6,0.498,0.401,77,200,17.6,1.9,2.3,5.2,4
Kosta Koufos,0.5,1.8,0.535,0.349,84,265,14.4,0.4,1.5,6.7,1
George Hill,3.3,0.3,0.565,0.404,74,180,17,1.6,2.9,5.8,4
Darrell Arthur,0.6,1.4,0.552,0.118,81,225,11.3,0.7,1.9,5.5,2
Donte Greene,2,1.6,0.492,0.345,83,226,17.7,1.3,2.6,7.2,1
D.J. White,0.9,2,0.563,0.333,81,251,14.6,0.7,1.9,7.6,4
J.R. Giddens,2.8,0.9,0.545,0.313,77,215,16.1,1.2,2.2,7.8,4
Walter Sharpe,1.7,1.8,0.535,0,81,245,14.2,1.2,2.8,6.8,3
Joey Dorsey,0.5,1.8,0.614,0,80,268,6.7,1.1,1.1,8.1,4
Mario Chalmers,3.8,0.4,0.545,0.419,73,190,12.2,2.6,1.9,2.8,3
DeAndre Jordan,0.4,1.3,0.617,0,83,250,7.9,0.2,1.6,6,1
Luc Richard Mbah a Moute,1.6,0.6,0.545,0.215,80,230,8.7,1.3,1.9,7.2,3
Kyle Weaver,3.8,0.8,0.505,0.277,78,201,9.6,1.6,2.8,4.7,4
