Player,ast_per_g,blk_per_g,fg2_pct,fg3_pct,height,lb,pts_per_g,stl_per_g,tov_per_g,trb_per_g,years,School,Pick,Games,WS
Ryan Gomes,2.3,0.4,0.549,0.352,79,250,18.4,1.6,2.140225564,8.9,4,Providence College,50,487,19.4
Robert Whaley,0.6,0.4,0.35,0,82,260,5.8,0.3,2.140225564,2.5,1,Walsh,51,23,0
Orien Greene,3.6,0.3,0.485,0.339,76,208,11.1,2.6,2.140225564,4.6,4,Louisiana at Lafayette,53,131,-0.7
Dijon Thompson,2,0.3,0.51,0.362,79,195,12.5,1.1,2.140225564,4.7,4,UCLA,54,16,0.2
Lawrence Roberts,1.6,0.7,0.505,0.296,81,240,16.9,1.5,2.140225564,10.5,4,Mississippi State,55,87,2.5
Alex Acker,2.8,0.4,0.476,0.411,77,185,14.5,1.5,2.140225564,5.6,3,Pepperdine,60,30,-0.2
LaMarcus Aldridge,0.6,1.8,0.586,0,83,240,13.5,1.3,2.140225564,8.2,2,Texas,2,794,86.7
Adam Morrison,2,0.4,0.551,0.368,80,205,19.7,0.7,2.140225564,5.1,3,Gonzaga,3,161,-1.4
Tyrus Thomas,1.3,3.1,0.606,1,81,215,12.3,1,2.140225564,9.2,1,Louisiana State,4,402,13
Shelden Williams,0.9,3,0.574,0.333,81,250,13.9,1.2,2.140225564,9.1,4,Duke,5,361,9.9
Brandon Roy,3,0.5,0.541,0.344,78,215,14.3,1,2.140225564,5,4,Washington,6,326,37.4
Randy Foye,3.2,0.4,0.441,0.329,76,210,15,1.5,2.140225564,4.8,4,Villanova,7,752,23.5
Rudy Gay,1.8,1.7,0.483,0.378,81,220,13.6,1.3,2.140225564,5.9,2,Connecticut,8,753,47.4
Patrick O'Bryant,0.7,2.8,0.554,0,84,260,11.6,0.9,2.140225564,7.8,2,Bradley,9,90,0.5
J.J. Redick,2.2,0.1,0.472,0.406,76,190,19.9,1.1,2.140225564,2.7,4,Duke,11,690,46.5
Hilton Armstrong,0.6,1.5,0.565,0.333,83,235,4.7,0.3,2.140225564,3.9,4,Connecticut,12,292,3.9
Ronnie Brewer,3.3,0.5,0.511,0.34,79,220,15.7,2.4,2.140225564,5,3,Arkansas,14,501,17.3
Cedric Simmons,1.1,1.8,0.566,0.5,81,235,7.7,0.4,2.140225564,4.1,2,North Carolina State,15,75,0.1
Rodney Carney,1.2,1,0.468,0.362,79,205,14.3,1,2.140225564,4.9,4,Memphis,16,299,6.2
Shawne Williams,1.9,1.4,0.489,0.312,81,225,13.2,1.4,2.140225564,6.2,1,Memphis,17,314,6.7
Quincy Douby,2.7,0.7,0.473,0.389,75,175,17.8,1.3,2.140225564,2.9,3,Rutgers,19,143,0
Renaldo Balkman,1.7,1.1,0.581,0.291,80,208,7.4,1.2,2.140225564,5.3,3,South Carolina,20,221,7.2
Rajon Rondo,4.2,0.2,0.544,0.283,73,171,9.6,2.3,2.140225564,4.5,2,Kentucky,21,714,53.5
Marcus Williams,7.3,0.2,0.413,0.375,75,205,9,1,2.140225564,3.2,3,Connecticut,22,203,0
Josh Boone,0.8,2.2,0.578,0,82,237,9.3,0.5,2.140225564,7,3,Connecticut,23,256,9.1
Kyle Lowry,3,0.2,0.463,0.325,72,175,9.5,1.9,2.140225564,3.8,2,Villanova,24,713,69.9
Shannon Brown,1.9,0.1,0.503,0.364,76,205,12.2,1.3,2.140225564,3.4,3,Michigan State,25,408,9.2
Jordan Farmar,5.2,0.2,0.463,0.333,74,180,13.3,1.2,2.140225564,3,2,UCLA,26,504,13.9
Maurice Ager,1.5,0.3,0.492,0.38,77,202,12.5,0.5,2.140225564,3.4,4,Michigan State,28,82,-0.9
Mardy Collins,3.2,0.2,0.457,0.292,78,220,15.4,2.3,2.140225564,4.6,4,Temple,29,189,-1.6
James White,2.8,0.6,0.508,0.347,79,200,11.7,1,2.140225564,4.7,4,Cincinnati,31,334,10.4
Steve Novak,1,0.1,0.443,0.461,82,220,12.4,0.5,2.140225564,4.2,4,Marquette,32,467,14.5
Solomon Jones,1,2.6,0.507,0,82,230,9.8,0.6,2.140225564,8,2,South Florida,33,281,5
Paul Davis,1.4,0.7,0.549,0.271,83,270,13.2,1.1,2.140225564,7,4,Michigan State,34,82,0.5
P.J. Tucker,2,0.3,0.527,0.5,77,225,13.4,1.3,2.140225564,8.2,3,Texas,35,418,21.1
Craig Smith,1.9,0.8,0.572,0.239,79,250,18.1,1.3,2.140225564,8.6,4,Boston College,36,403,16
Bobby Jones,0,0,0,0,81,210,13.7,0,2.140225564,8.9,3,Washington,37,941,94.1
David Noel,1.9,0.5,0.6,0.354,78,230,6.9,1.1,2.140225564,4.3,4,North Carolina,39,68,0.4
Denham Brown,1.3,0.2,0.466,0.354,78,216.4149193,9.4,0.7,2.140225564,3.9,4,Connecticut,40,0,0
James Augustine,1.1,1,0.623,0.333,82,235,10.1,1,2.140225564,7.5,4,Illinois,41,27,0.3
Daniel Gibson,3.5,0.3,0.451,0.387,74,190,13.8,1.5,2.140225564,3.6,2,Texas,42,397,16
Alexander Johnson,0.7,0.7,0.535,0.308,81,240,9.8,0.9,2.140225564,5.2,3,Florida State,45,102,1.5
Dee Brown,3.1,0.3,0.51,0.366,73,160,13.9,1.9,2.3,5.3,4,Illinois,46,608,33.4
Paul Millsap,0.9,2,0.58,0.375,80,245,18.6,1.3,2.140225564,12.7,3,Louisiana Tech,47,837,79.6
Leon Powe,1.1,0.6,0.495,0.3,80,240,17.8,0.8,2.140225564,9.8,2,California,49,239,12
Ryan Hollins,0.4,0.9,0.574,1,84,230,5.7,0.2,2.140225564,4,4,UCLA,50,518,10.4
Guillermo Diaz,2.6,0.3,0.493,0.38,74,192,15.9,1.3,2.140225564,3.4,3,Miami,52,6,0
Hassan Adams,2,0.7,0.535,0.311,76,220,14,1.8,2.140225564,5.4,4,Arizona,54,73,0.8
J.R. Pinnock,2.1,0.6,0.533,0.308,77,213.640369,12.6,1.8,2.140225564,4.6,3,George Washington,58,0,0
Will Blalock,5,0.1,0.445,0.365,72,205,11.6,1.9,2.140225564,3.1,3,Iowa State,60,14,-0.1
Greg Oden,0.7,3.3,0.616,0,84,250,15.7,0.6,2.140225564,9.6,1,Ohio State,1,105,7.3
Kevin Durant,1.3,1.9,0.505,0.404,81,215,25.8,1.9,2.140225564,11.1,1,Texas,2,703,119.8
Al Horford,1.7,1.7,0.589,0,82,245,10.3,0.9,2.140225564,7.9,3,Florida,3,646,70.4
Mike Conley,6.1,0.3,0.579,0.304,73,180,11.3,2.2,2.140225564,3.4,1,Ohio State,4,706,62.8
Jeff Green,3.1,1.2,0.531,0.359,81,235,13.1,0.9,2.140225564,6.5,3,Georgetown,5,25,0.4
Corey Brewer,2.8,0.4,0.536,0.356,81,185,11.3,1.6,2.140225564,4.3,3,Florida,7,711,19.2
Brandan Wright,1,1.8,0.646,0,81,205,14.7,1,2.140225564,6.2,1,North Carolina,8,400,24.9
Joakim Noah,1.7,1.7,0.617,0.5,83,232,10.5,0.9,2.140225564,6.4,3,Florida,9,618,59.6
Spencer Hawes,1.9,1.7,0.533,0.333,84,245,14.9,0.5,2.140225564,6.4,1,Washington,10,684,22.6
Acie Law,4.5,0,0.502,0.357,75,195,13.7,1.3,2.140225564,3.1,4,Texas A&M,11,188,1.6
Thaddeus Young,2,0.4,0.498,0.419,80,220,14.4,1.3,2.140225564,4.9,1,Georgia Tech,12,739,47.3
Julian Wright,2,1.3,0.565,0.188,80,225,10.4,1.2,2.140225564,6.3,2,Kansas,13,231,3.9
Al Thornton,0.7,0.6,0.543,0.438,80,220,12.3,0.8,2.140225564,5.2,4,Florida State,14,296,6.1
Rodney Stuckey,4.8,0.3,0.54,0.317,77,205,24.4,2.3,2.140225564,4.7,2,Eastern Washington,15,651,28.7
Nick Young,1.4,0.3,0.518,0.368,78,200,15.5,0.8,2.140225564,5.1,3,Southern California,16,636,16.9
Sean Williams,0.6,2.8,0.577,0,82,235,5.5,0.6,2.140225564,4.2,3,Boston College,17,137,3
Javaris Crittenton,5.8,0.1,0.488,0.356,77,200,14.4,2,2.140225564,3.7,1,Georgia Tech,19,113,0.1
Jason Smith,2,1.7,0.556,0.308,84,240,14.7,0.5,2.140225564,7.9,3,Colorado State,20,563,13.9
Daequan Cook,1,0.3,0.465,0.415,77,205,9.8,0.7,2.140225564,4.3,1,Ohio State,21,612,22.9
Jared Dudley,3,0.3,0.548,0.365,79,225,15.9,1.4,2.140225564,7.2,4,Boston College,22,740,39.5
Wilson Chandler,1.2,1.5,0.487,0.303,80,220,12.9,0.7,2.140225564,7.1,2,DePaul,23,516,23.5
Morris Almond,1,0.5,0.514,0.435,78,225,15.1,0.7,2.140225564,3.5,4,Rice,25,38,0
Aaron Brooks,4.1,0.1,0.479,0.374,72,161,13.1,1.1,2.140225564,3.5,4,Oregon,26,613,19.1
Arron Afflalo,1.9,0.2,0.539,0.373,77,215,14.8,0.6,2.140225564,3.5,3,UCLA,27,709,33.3
Alando Tucker,1.6,0.2,0.522,0.307,78,205,16.5,0.8,2.140225564,5.7,5,Wisconsin,29,352,11.1
Carl Landry,1.2,0.8,0.628,0.233,81,248,18.4,1,2.140225564,7.1,3,Purdue,31,513,35.9
Gabe Pruitt,3.5,0.2,0.496,0.393,76,170,13.8,2,2.140225564,3.1,3,Southern California,32,62,0.4
Marcus Williams,7.3,0.2,0.413,0.375,75,205,9,1,2.140225564,3.2,3,Arizona,33,13,-0.1
Nick Fazekas,1.3,1.5,0.579,0.341,83,235,18.8,0.7,2.140225564,9.6,4,"University of Nevada, Reno",34,26,0.8
Glen Davis,1.5,1.2,0.51,0.31,81,289,16.7,1.1,2.140225564,9.6,3,Louisiana State,35,514,18.6
Jermareo Davidson,1,1.8,0.471,0.211,82,230,10.1,0.5,2.140225564,7.3,4,Alabama,36,52,0
Josh McRoberts,2.4,1.9,0.559,0.278,82,240,10.8,1.2,2.140225564,6.5,2,Duke,37,431,18.5
Chris Richard,0.3,0.4,0.665,0,81,270,4.9,0.3,2.140225564,3.2,4,Florida,41,70,0.7
Derrick Byars,3.3,0.2,0.531,0.4,79,219.1894695,14.8,1.2,2.140225564,4.3,4,Vanderbilt,42,2,0.1
Adam Haluska,2.1,0.2,0.499,0.364,77,213.640369,16.1,1.2,2.140225564,4.4,4,Iowa,43,0,0
