Player,ast_per_g,blk_per_g,fg2_pct,fg3_pct,height,lb,pts_per_g,stl_per_g,tov_per_g,trb_per_g,years,Pick,WS,Games,School
Jason Maxiell,0.7,1.9,0.509,0.286,79,260,12.1,0.7,2.195454545,7,4,26,20.3,618,Cincinnati
Linas Kleiza,1.3,0.3,0.453,0.287,80,245,14.4,0.6,2.195454545,7.9,2,27,13.6,409,Missouri
Wayne Simien,0.9,0.7,0.566,0.24,81,255,15,0.7,2.195454545,8.3,4,29,0.9,51,Kansas
David Lee,2,0.9,0.584,0,81,249,11.3,0.9,2.195454545,6.8,4,30,1.9,58,Florida
Salim Stoudamire,2,0.1,0.488,0.458,73,179,15.2,0.8,2.195454545,2.2,4,31,2.2,157,Arizona
Daniel Ewing,2.1,0.2,0.464,0.392,75,185,11.6,1.4,2.195454545,2.8,4,32,0.8,127,Duke
Brandon Bass,0.7,1.8,0.554,0.378,80,240,15.1,0.8,2.195454545,8.2,2,33,42.8,758,Louisiana State
Ronny Turiaf,1,1.4,0.524,0.222,82,249,13.6,0.5,2.195454545,6.8,4,37,19.2,473,Gonzaga
Travis Diener,5.1,0.1,0.42,0.413,73,175,14.1,1.3,2.195454545,3.1,4,38,5.6,179,Marquette
Von Wafer,1.4,0.2,0.457,0.365,77,210,10.1,0.9,2.195454545,2.2,2,39,3.3,200,Florida State
Chris Taft,1.1,1.7,0.569,0,82,260,12,0.4,2.195454545,7.5,2,42,0.5,17,Pittsburgh
Bracey Wright,2.4,0.6,0.451,0.35,75,210,17.6,0.9,2.195454545,5.1,3,47,0.5,26,Indiana
Ryan Gomes,2.3,0.4,0.549,0.352,79,250,18.4,1.6,2.195454545,8.9,4,50,19.4,487,Providence College
Robert Whaley,0.6,0.4,0.35,0,82,260,5.8,0.3,2.195454545,2.5,1,51,0,23,Walsh
Orien Greene,3.6,0.3,0.485,0.339,76,208,11.1,2.6,2.195454545,4.6,4,53,-0.7,131,Louisiana at Lafayette
Dijon Thompson,2,0.3,0.51,0.362,79,195,12.5,1.1,2.195454545,4.7,4,54,0.2,16,UCLA
Lawrence Roberts,1.6,0.7,0.505,0.296,81,240,16.9,1.5,2.195454545,10.5,4,55,2.5,87,Mississippi State
Alex Acker,2.8,0.4,0.476,0.411,77,185,14.5,1.5,2.195454545,5.6,3,60,-0.2,30,Pepperdine
LaMarcus Aldridge,0.6,1.8,0.586,0,83,240,13.5,1.3,2.195454545,8.2,2,2,86.7,794,Texas
Adam Morrison,2,0.4,0.551,0.368,80,205,19.7,0.7,2.195454545,5.1,3,3,-1.4,161,Gonzaga
Tyrus Thomas,1.3,3.1,0.606,1,81,215,12.3,1,2.195454545,9.2,1,4,13,402,Louisiana State
Shelden Williams,0.9,3,0.574,0.333,81,250,13.9,1.2,2.195454545,9.1,4,5,9.9,361,Duke
Brandon Roy,3,0.5,0.541,0.344,78,215,14.3,1,2.195454545,5,4,6,37.4,326,Washington
Randy Foye,3.2,0.4,0.441,0.329,76,210,15,1.5,2.195454545,4.8,4,7,23.5,752,Villanova
Rudy Gay,1.8,1.7,0.483,0.378,81,220,13.6,1.3,2.195454545,5.9,2,8,47.4,753,Connecticut
Patrick O'Bryant,0.7,2.8,0.554,0,84,260,11.6,0.9,2.195454545,7.8,2,9,0.5,90,Bradley
J.J. Redick,2.2,0.1,0.472,0.406,76,190,19.9,1.1,2.195454545,2.7,4,11,46.5,690,Duke
Hilton Armstrong,0.6,1.5,0.565,0.333,83,235,4.7,0.3,2.195454545,3.9,4,12,3.9,292,Connecticut
Ronnie Brewer,3.3,0.5,0.511,0.34,79,220,15.7,2.4,2.195454545,5,3,14,17.3,501,Arkansas
Cedric Simmons,1.1,1.8,0.566,0.5,81,235,7.7,0.4,2.195454545,4.1,2,15,0.1,75,North Carolina State
